customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type
0263-FJTQO,Male,0,Yes,Yes,50,Yes,Yes,1,Yes,No,No,Yes,Yes,No,3,Yes,4,70.5,3486.65,No,Two year,DSL,Credit card (automatic)
0270-THENM,Male,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,No,No,3,No,3,69.85,5102.35,No,Two year,DSL,Bank transfer (automatic)
0277-ORXQS,Male,0,Yes,Yes,66,No,No phone service,1,No,No,No,Yes,Yes,Yes,3,No,3,50.55,3364.55,No,Two year,DSL,Bank transfer (automatic)
0298-XACET,Male,0,Yes,Yes,52,No,No phone service,1,No,Yes,Yes,Yes,Yes,No,3,No,2,50.2,2554,No,Two year,DSL,Mailed check
0301-FIDRB,Female,0,Yes,Yes,72,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,63.8,4684.3,No,Two year,DSL,Bank transfer (automatic)
0336-KXKFK,Male,0,No,No,72,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,4,61.2,4390.25,No,Two year,DSL,Credit card (automatic)
0336-PIKEI,Male,1,Yes,No,72,Yes,No,1,Yes,Yes,Yes,Yes,Yes,No,3,No,3,74.4,5360.75,No,Two year,DSL,Bank transfer (automatic)
0343-QLUZP,Male,0,No,No,60,No,No phone service,1,Yes,Yes,Yes,No,No,No,3,No,3,39.6,2424.5,No,Two year,DSL,Bank transfer (automatic)
0361-HJRDX,Female,0,No,No,68,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,64.35,4539.6,No,Two year,DSL,Credit card (automatic)
0363-SVHYR,Male,0,Yes,Yes,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,86.85,6263.8,No,Two year,DSL,Bank transfer (automatic)
0379-DJQHR,Male,0,Yes,Yes,67,Yes,No,1,Yes,Yes,Yes,No,Yes,Yes,3,No,4,81.35,5398.6,No,Two year,DSL,Credit card (automatic)
0383-CLDDA,Female,0,No,No,69,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,4,85.35,5897.4,No,Two year,DSL,Credit card (automatic)
0412-UCCNP,Male,0,No,No,55,Yes,No,1,Yes,No,Yes,Yes,No,No,3,Yes,1,59.2,3175.85,No,Two year,DSL,Electronic check
0420-TXVSG,Male,0,Yes,No,66,Yes,Yes,1,Yes,Yes,Yes,No,No,No,3,Yes,4,66.1,4428.45,No,Two year,DSL,Credit card (automatic)
0436-TWFFZ,Female,0,No,No,67,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,2,85.25,5714.2,No,Two year,DSL,Mailed check
0440-EKDCF,Male,0,Yes,No,62,Yes,No,1,No,Yes,Yes,Yes,No,No,3,Yes,4,60.15,3753.2,No,Two year,DSL,Credit card (automatic)
0455-ENTCR,Male,0,Yes,No,66,Yes,Yes,1,Yes,Yes,No,Yes,Yes,Yes,3,No,1,85.25,5538.35,No,Two year,DSL,Electronic check
0458-HEUZG,Female,0,No,No,13,No,No phone service,1,No,No,Yes,Yes,No,No,3,No,2,35.4,450.4,No,Two year,DSL,Mailed check
0459-SPZHJ,Male,0,Yes,Yes,63,Yes,Yes,1,Yes,Yes,Yes,No,Yes,Yes,3,No,4,83.5,5435,No,Two year,DSL,Credit card (automatic)
0487-CRLZF,Female,0,No,No,49,Yes,No,1,No,No,Yes,Yes,Yes,Yes,3,Yes,3,74.45,3721.9,No,Two year,DSL,Bank transfer (automatic)
0513-RBGPE,Male,0,Yes,Yes,37,Yes,Yes,1,Yes,No,Yes,Yes,No,No,3,Yes,4,62.8,2278.75,No,Two year,DSL,Credit card (automatic)
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,1,Yes,Yes,Yes,No,No,No,3,No,3,42.1,2962,No,Two year,DSL,Bank transfer (automatic)
0531-XBKMM,Male,0,No,Yes,66,Yes,Yes,1,Yes,Yes,No,Yes,No,No,3,No,3,65.7,4378.9,No,Two year,DSL,Bank transfer (automatic)
0536-ESJEP,Male,0,Yes,No,54,Yes,No,1,Yes,Yes,No,No,Yes,Yes,3,Yes,3,74.55,4191.45,No,Two year,DSL,Bank transfer (automatic)
0556-FJEGU,Male,0,No,No,58,Yes,No,1,No,Yes,Yes,Yes,Yes,No,3,No,3,70.1,4048.95,No,Two year,DSL,Bank transfer (automatic)
0562-FGDCR,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,No,Yes,Yes,No,3,No,2,74.55,5430.65,No,Two year,DSL,Mailed check
0562-KBDVM,Female,0,No,No,70,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,3,Yes,3,44.6,3058.15,No,Two year,DSL,Bank transfer (automatic)
0567-XRHCU,Female,0,Yes,Yes,69,No,No phone service,1,Yes,No,Yes,No,No,Yes,3,Yes,4,43.95,2960.1,No,Two year,DSL,Credit card (automatic)
0602-DDUML,Female,0,No,No,57,Yes,No,1,No,Yes,Yes,Yes,Yes,No,3,No,2,69.75,3894.4,No,Two year,DSL,Mailed check
0604-THJFP,Female,0,Yes,Yes,59,Yes,No,1,No,Yes,No,Yes,Yes,Yes,3,Yes,4,75.95,4542.35,No,Two year,DSL,Credit card (automatic)
0617-AQNWT,Female,0,Yes,No,64,No,No phone service,1,Yes,No,Yes,Yes,No,Yes,3,No,1,47.85,3147.5,Yes,Two year,DSL,Electronic check
0621-JFHOL,Female,0,No,No,10,No,No phone service,1,No,No,No,Yes,No,No,3,Yes,2,29.6,299.05,No,Two year,DSL,Mailed check
0674-GCDXG,Male,0,No,No,63,Yes,Yes,1,Yes,No,Yes,Yes,No,Yes,3,Yes,3,71.9,4479.2,No,Two year,DSL,Bank transfer (automatic)
0707-HOVVN,Female,1,No,No,70,Yes,Yes,1,No,Yes,Yes,Yes,Yes,No,3,Yes,3,75.5,5212.65,No,Two year,DSL,Bank transfer (automatic)
0730-BGQGF,Male,0,Yes,Yes,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,90.3,6287.3,No,Two year,DSL,Credit card (automatic)
0739-UUAJR,Female,0,Yes,Yes,72,No,No phone service,1,Yes,No,Yes,No,Yes,Yes,3,Yes,4,53.8,3952.45,No,Two year,DSL,Credit card (automatic)
0744-BIKKF,Male,0,No,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,86.65,6224.8,No,Two year,DSL,Bank transfer (automatic)
0757-WCUUZ,Male,0,Yes,Yes,54,Yes,Yes,1,No,No,Yes,No,No,Yes,3,No,4,63.35,3409.1,No,Two year,DSL,Credit card (automatic)
0769-MURVM,Female,0,Yes,Yes,72,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,65.7,4575.35,No,Two year,DSL,Bank transfer (automatic)
0771-CHWSK,Male,0,No,No,66,Yes,Yes,1,Yes,Yes,Yes,No,No,Yes,3,Yes,4,74.6,4798.4,No,Two year,DSL,Credit card (automatic)
0774-RMNUW,Female,0,Yes,Yes,71,No,No phone service,1,Yes,Yes,No,Yes,Yes,Yes,3,No,3,59.7,4122.65,No,Two year,DSL,Bank transfer (automatic)
0795-LAFGP,Male,0,Yes,Yes,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,1,90.4,6668.05,No,Two year,DSL,Electronic check
0813-TAXXS,Male,0,No,No,55,Yes,Yes,1,No,No,Yes,No,Yes,Yes,3,Yes,3,77.8,4323.35,No,Two year,DSL,Bank transfer (automatic)
0839-JTCUD,Female,0,Yes,Yes,66,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,89.9,5958.85,No,Two year,DSL,Credit card (automatic)
0848-SOMKO,Male,0,No,No,70,No,No phone service,1,Yes,No,Yes,Yes,No,Yes,3,No,3,48.4,3442.8,No,Two year,DSL,Bank transfer (automatic)
0885-HMGPY,Male,0,No,No,62,Yes,Yes,1,Yes,Yes,Yes,Yes,No,No,3,No,3,69.4,4237.5,No,Two year,DSL,Bank transfer (automatic)
0895-UADGO,Male,0,No,Yes,8,No,No phone service,1,Yes,No,No,Yes,No,Yes,3,Yes,2,44.55,343.45,No,Two year,DSL,Mailed check
0909-SELIE,Male,0,Yes,No,61,Yes,Yes,1,Yes,Yes,Yes,Yes,No,Yes,3,Yes,3,80.8,4860.85,No,Two year,DSL,Bank transfer (automatic)
0916-KNFAJ,Male,0,Yes,No,61,Yes,Yes,1,Yes,No,Yes,No,No,Yes,3,Yes,2,69.9,4226.7,No,Two year,DSL,Mailed check
0942-KOWSM,Female,0,Yes,Yes,30,Yes,No,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,80.8,2369.3,No,Two year,DSL,Bank transfer (automatic)
0945-TSONX,Female,0,Yes,Yes,47,Yes,Yes,1,Yes,Yes,No,Yes,Yes,Yes,3,Yes,4,85.3,4107.25,No,Two year,DSL,Credit card (automatic)
0973-KYVNF,Female,0,Yes,Yes,72,Yes,No,1,Yes,Yes,Yes,No,Yes,No,3,Yes,4,70.65,5011.15,No,Two year,DSL,Credit card (automatic)
0979-MOZQI,Male,0,Yes,No,62,No,No phone service,1,No,No,No,Yes,Yes,No,3,Yes,3,39.0,2337.45,No,Two year,DSL,Bank transfer (automatic)
0988-AADSA,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,No,Yes,3,No,3,80.85,5824.75,No,Two year,DSL,Bank transfer (automatic)
1023-BQXZE,Male,0,No,No,57,Yes,No,1,Yes,No,Yes,No,Yes,Yes,3,Yes,3,74.35,4317.35,No,Two year,DSL,Bank transfer (automatic)
1027-LKKQQ,Female,0,Yes,Yes,72,Yes,No,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,3,80.45,5886.85,No,Two year,DSL,Bank transfer (automatic)
1084-MNSMJ,Female,0,Yes,Yes,51,Yes,No,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,85.5,4421.95,No,Two year,DSL,Credit card (automatic)
1088-AUUZZ,Male,0,Yes,Yes,56,Yes,Yes,1,Yes,Yes,No,Yes,No,Yes,3,Yes,4,75.85,4261.2,No,Two year,DSL,Credit card (automatic)
1116-FRYVH,Female,0,Yes,Yes,48,No,No phone service,1,Yes,Yes,No,Yes,No,No,3,No,2,39.4,1978.65,No,Two year,DSL,Mailed check
1139-WUOAH,Male,0,No,No,57,No,No phone service,1,No,No,Yes,Yes,Yes,Yes,3,No,4,53.35,3090.05,No,Two year,DSL,Credit card (automatic)
1172-VIYBP,Male,0,Yes,Yes,53,Yes,Yes,1,Yes,Yes,No,No,No,Yes,3,No,3,69.7,3686.05,No,Two year,DSL,Bank transfer (automatic)
1187-WILMM,Male,0,Yes,Yes,63,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,4,89.4,5597.65,No,Two year,DSL,Credit card (automatic)
1194-BHJYC,Male,0,Yes,No,61,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,2,62.15,3778.85,No,Two year,DSL,Mailed check
1209-VFFOC,Male,0,Yes,Yes,68,No,No phone service,1,Yes,Yes,Yes,Yes,No,Yes,3,Yes,2,56.4,3948.45,No,Two year,DSL,Mailed check
1221-GHZEP,Female,0,No,No,62,Yes,No,1,Yes,No,No,Yes,No,Yes,3,Yes,2,65.1,3846.75,No,Two year,DSL,Mailed check
1227-UDMZR,Female,0,Yes,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,91.15,6637.9,No,Two year,DSL,Bank transfer (automatic)
1265-BCFEO,Female,0,Yes,No,71,Yes,Yes,1,No,No,Yes,Yes,Yes,Yes,3,Yes,3,80.45,5662.25,No,Two year,DSL,Bank transfer (automatic)
1265-ZFOSD,Female,0,Yes,No,64,Yes,Yes,1,Yes,Yes,Yes,Yes,No,Yes,3,Yes,2,81.3,5129.3,No,Two year,DSL,Mailed check
1266-NZYUI,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,No,Yes,Yes,No,No,3,No,3,66.85,4758.8,No,Two year,DSL,Bank transfer (automatic)
1271-UODNO,Male,0,No,No,39,Yes,Yes,1,No,No,No,Yes,No,No,3,Yes,4,53.85,2200.7,No,Two year,DSL,Credit card (automatic)
1335-MXCSE,Male,0,Yes,Yes,55,Yes,No,1,No,No,Yes,Yes,No,No,3,Yes,4,55.25,3119.9,No,Two year,DSL,Credit card (automatic)
1371-DWPAZ,Female,0,Yes,Yes,0,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,No,3,No,4,56.05, ,No,Two year,DSL,Credit card (automatic)
1431-AIDJQ,Male,0,Yes,Yes,33,Yes,No,1,No,Yes,Yes,Yes,Yes,Yes,3,No,4,82.1,2603.1,No,Two year,DSL,Credit card (automatic)
1459-QNFQT,Male,0,Yes,Yes,70,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes,3,No,3,59.5,4144.8,No,Two year,DSL,Bank transfer (automatic)
1498-NHTLT,Male,0,Yes,Yes,59,Yes,No,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,1,86.75,5186,No,Two year,DSL,Electronic check
1506-YJTYT,Male,0,Yes,Yes,45,Yes,Yes,1,Yes,Yes,No,Yes,Yes,No,3,No,4,73.85,3371,No,Two year,DSL,Credit card (automatic)
1525-LNLOJ,Male,0,Yes,Yes,66,Yes,Yes,1,No,No,Yes,No,Yes,No,3,Yes,3,63.3,4189.7,No,Two year,DSL,Bank transfer (automatic)
1568-BEKZM,Male,1,Yes,No,70,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,90.05,6333.4,No,Two year,DSL,Credit card (automatic)
1568-LJSZU,Male,0,Yes,Yes,68,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,4,92.2,6392.85,No,Two year,DSL,Credit card (automatic)
1642-HMARX,Female,0,Yes,No,68,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,1,91.7,6424.7,No,Two year,DSL,Electronic check
1676-MQAOA,Male,0,No,No,72,Yes,No,1,Yes,Yes,Yes,Yes,Yes,No,3,Yes,3,75.1,5336.35,No,Two year,DSL,Bank transfer (automatic)
1699-UOTXU,Male,0,No,No,60,Yes,No,1,Yes,Yes,Yes,No,No,No,3,No,1,61.4,3638.25,No,Two year,DSL,Electronic check
1716-LSAMB,Male,0,Yes,Yes,45,Yes,No,1,Yes,No,No,Yes,No,No,3,No,3,54.65,2553.7,No,Two year,DSL,Bank transfer (automatic)
1775-KWJKQ,Male,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,89.85,6562.9,No,Two year,DSL,Credit card (automatic)
1814-WFGVS,Male,0,Yes,Yes,72,No,No phone service,1,Yes,No,Yes,Yes,Yes,No,3,No,2,48.9,3527,No,Two year,DSL,Mailed check
1821-BUCWY,Male,0,No,No,30,Yes,No,1,Yes,No,Yes,No,No,No,3,Yes,2,55.65,1653.85,No,Two year,DSL,Mailed check
1837-YQUCE,Female,0,No,No,70,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,3,58.35,4214.25,No,Two year,DSL,Bank transfer (automatic)
1897-OKVMW,Female,0,Yes,Yes,64,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,2,90.6,5817.45,No,Two year,DSL,Mailed check
1904-WAJAA,Female,0,Yes,Yes,24,Yes,Yes,1,Yes,Yes,Yes,No,No,No,3,No,1,64.35,1558.65,No,Two year,DSL,Electronic check
1936-CZAKF,Male,0,Yes,No,49,No,No phone service,1,No,Yes,No,No,Yes,Yes,3,No,4,49.65,2409.9,No,Two year,DSL,Credit card (automatic)
1951-IEYXM,Male,0,Yes,Yes,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,4,90.6,6441.85,No,Two year,DSL,Credit card (automatic)
1960-UOTYM,Male,0,Yes,Yes,52,Yes,No,1,Yes,Yes,Yes,No,Yes,Yes,3,No,1,79.2,4016.3,No,Two year,DSL,Electronic check
1971-DTCZB,Female,0,Yes,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,90.95,6468.6,No,Two year,DSL,Bank transfer (automatic)
1972-XMUWV,Female,0,Yes,No,65,Yes,No,1,No,No,No,Yes,Yes,No,3,Yes,4,59.8,3808.2,No,Two year,DSL,Credit card (automatic)
2000-DHJUY,Female,1,Yes,No,70,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,92.2,6474.45,No,Two year,DSL,Bank transfer (automatic)
2040-LDIWQ,Male,0,Yes,Yes,65,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,3,Yes,3,84.2,5324.5,No,Two year,DSL,Bank transfer (automatic)
2077-DDHJK,Female,0,Yes,No,68,Yes,Yes,1,Yes,Yes,Yes,Yes,No,No,3,No,4,70.9,4911.35,No,Two year,DSL,Credit card (automatic)
2088-IEBAU,Female,0,No,No,68,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,1,88.15,6148.45,No,Two year,DSL,Electronic check
2091-GPPIQ,Female,0,Yes,Yes,72,Yes,Yes,1,No,Yes,No,Yes,Yes,Yes,3,Yes,1,78.95,5730.15,No,Two year,DSL,Electronic check
2123-VSCOT,Female,0,Yes,Yes,59,Yes,Yes,1,No,No,Yes,Yes,Yes,No,3,Yes,3,72.1,4194.85,No,Two year,DSL,Bank transfer (automatic)
2126-GSEGL,Female,0,Yes,No,70,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,3,Yes,3,84.8,5917.55,No,Two year,DSL,Bank transfer (automatic)
2160-GPFXD,Male,0,Yes,Yes,54,Yes,Yes,1,Yes,Yes,No,Yes,No,No,3,Yes,4,65.65,3566.7,No,Two year,DSL,Credit card (automatic)
2162-FRZAA,Male,0,Yes,Yes,63,No,No phone service,1,No,Yes,Yes,Yes,No,No,3,No,3,39.35,2395.05,No,Two year,DSL,Bank transfer (automatic)
2167-FQSTQ,Female,0,Yes,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,1,92.4,6786.1,No,Two year,DSL,Electronic check
2176-LVPNX,Female,1,No,No,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,2,89.85,6293.45,No,Two year,DSL,Mailed check
2176-OSJUV,Male,0,Yes,No,71,Yes,Yes,1,Yes,Yes,No,Yes,No,No,3,No,3,65.15,4681.75,No,Two year,DSL,Bank transfer (automatic)
2192-CKRLV,Female,0,Yes,No,72,No,No phone service,1,Yes,Yes,Yes,No,No,Yes,3,Yes,1,49.2,3580.95,No,Two year,DSL,Electronic check
2192-OZITF,Female,0,No,No,45,Yes,Yes,1,Yes,No,No,Yes,No,Yes,3,No,2,73.55,3349.1,No,Two year,DSL,Mailed check
2194-IIQOF,Female,0,Yes,No,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,4,89.3,6388.65,No,Two year,DSL,Credit card (automatic)
2197-OMWGI,Female,1,Yes,Yes,68,No,No phone service,1,No,Yes,Yes,No,Yes,Yes,3,Yes,1,53.0,3656.25,No,Two year,DSL,Electronic check
2200-DSAAL,Female,0,No,No,68,Yes,Yes,1,No,Yes,Yes,No,Yes,Yes,3,Yes,1,80.65,5330.2,No,Two year,DSL,Electronic check
2211-RMNHO,Female,0,Yes,Yes,68,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,3,No,3,85.3,5560,No,Two year,DSL,Bank transfer (automatic)
2226-ICFDO,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,4,85.9,6110.75,No,Two year,DSL,Credit card (automatic)
2234-EOFPT,Male,0,Yes,No,72,Yes,No,1,Yes,Yes,No,Yes,Yes,Yes,3,Yes,3,79.35,5753.25,No,Two year,DSL,Bank transfer (automatic)
2235-EZAIK,Female,0,Yes,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,3,No,4,79.2,5401.9,No,Two year,DSL,Credit card (automatic)
2245-ADZFJ,Female,0,Yes,Yes,31,Yes,Yes,1,No,Yes,No,Yes,Yes,Yes,3,No,3,80.55,2471.6,No,Two year,DSL,Bank transfer (automatic)
2251-PYLPB,Male,0,Yes,No,72,Yes,Yes,1,Yes,Yes,Yes,Yes,No,Yes,3,No,4,79.55,5810.9,No,Two year,DSL,Credit card (automatic)
2252-NKNSI,Male,0,No,Yes,52,Yes,Yes,1,Yes,Yes,No,Yes,Yes,Yes,3,Yes,2,85.15,4461.85,No,Two year,DSL,Mailed check
2253-KPMNB,Female,0,Yes,Yes,69,No,No phone service,1,Yes,Yes,Yes,Yes,No,No,3,No,3,46.25,3121.4,No,Two year,DSL,Bank transfer (automatic)
2256-YLYLP,Male,0,Yes,Yes,68,Yes,No,1,No,No,Yes,Yes,Yes,Yes,3,Yes,3,72.95,4953.25,No,Two year,DSL,Bank transfer (automatic)
2274-XUATA,Male,1,Yes,No,72,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,3,63.1,4685.55,No,Two year,DSL,Bank transfer (automatic)
2296-DKZFP,Female,0,Yes,No,65,Yes,No,1,Yes,Yes,Yes,No,No,Yes,3,No,3,71.0,4386.2,No,Two year,DSL,Bank transfer (automatic)
2302-OUZXB,Male,0,Yes,No,72,Yes,Yes,1,No,Yes,Yes,No,Yes,Yes,3,No,3,82.15,5784.3,No,Two year,DSL,Bank transfer (automatic)
2314-TNDJQ,Female,0,Yes,Yes,72,No,No phone service,1,Yes,Yes,Yes,Yes,No,Yes,3,No,4,55.65,3880.05,No,Two year,DSL,Credit card (automatic)
2335-GSODA,Male,0,No,Yes,23,No,No phone service,1,Yes,No,Yes,Yes,No,No,3,No,2,40.1,857.75,No,Two year,DSL,Mailed check
2351-BKRZW,Female,0,Yes,Yes,43,Yes,No,1,Yes,No,Yes,No,Yes,Yes,3,No,3,75.2,3254.35,No,Two year,DSL,Bank transfer (automatic)
2378-YIZKA,Female,0,Yes,Yes,68,Yes,No,1,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,4,85.0,5607.75,No,Two year,DSL,Credit card (automatic)
2400-XIWIO,Female,0,Yes,No,71,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,1,90.1,6310.9,No,Two year,DSL,Electronic check
2404-JIBFC,Female,0,Yes,Yes,55,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,3,85.1,4657.95,No,Two year,DSL,Bank transfer (automatic)
2451-YMUXS,Male,1,No,No,67,Yes,Yes,1,Yes,Yes,No,Yes,No,No,3,Yes,3,64.55,4250.1,No,Two year,DSL,Bank transfer (automatic)
2498-XLDZR,Female,0,Yes,Yes,32,Yes,No,1,Yes,Yes,Yes,Yes,No,Yes,3,No,2,73.6,2316.85,No,Two year,DSL,Mailed check
2516-XSJKX,Female,0,Yes,Yes,41,Yes,No,1,Yes,Yes,No,Yes,Yes,Yes,3,No,1,78.45,3126.45,No,Two year,DSL,Electronic check
2535-PBCGC,Female,0,Yes,No,70,No,No phone service,1,Yes,Yes,Yes,Yes,Yes,Yes,3,No,3,64.55,4504.9,No,Two year,DSL,Bank transfer (automatic)
2580-ASVVY,Female,0,Yes,No,37,No,No phone service,1,Yes,No,No,Yes,Yes,No,3,No,1,45.4,1593.1,No,Two year,DSL,Electronic check
2612-PHGOX,Male,0,Yes,No,64,Yes,Yes,1,No,Yes,Yes,Yes,Yes,No,3,Yes,3,76.1,4818.8,No,Two year,DSL,Bank transfer (automatic)
2649-HWLYB,Male,0,Yes,No,65,Yes,Yes,1,Yes,No,Yes,Yes,No,Yes,3,No,3,76.15,4929.55,No,Two year,DSL,Bank transfer (automatic)
2661-GKBTK,Male,0,Yes,Yes,60,Yes,No,1,No,Yes,No,Yes,Yes,Yes,3,No,3,76.95,4543.95,No,Two year,DSL,Bank transfer (automatic)
2676-SSLTO,Male,0,No,No,49,Yes,Yes,1,No,No,No,Yes,Yes,No,3,Yes,3,66.15,3199,No,Two year,DSL,Bank transfer (automatic)
2710-WYVXG,Female,0,No,No,3,Yes,No,1,Yes,Yes,No,Yes,No,Yes,3,No,2,71.1,213.35,No,Two year,DSL,Mailed check
2725-TTRIQ,Female,0,Yes,Yes,72,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,3,Yes,3,84.2,5986.55,No,Two year,DSL,Bank transfer (automatic)
2753-JMMCV,Male,0,No,No,65,Yes,Yes,1,No,Yes,Yes,Yes,No,Yes,3,Yes,4,74.2,4805.65,No,Two year,DSL,Credit card (automatic)
2773-MADBQ,Female,0,No,No,36,No,No phone service,1,Yes,Yes,Yes,Yes,No,Yes,3,Yes,2,53.1,1901.25,No,Two year,DSL,Mailed check
